dt,AverageTemperature,AverageTemperatureUncertainty,Country
1818-10-01,22.486,2.233,Algeria
1818-11-01,17.754,4.655,Algeria
1818-12-01,12.799,2.104,Algeria
1819-01-01,10.617,3.105,Algeria
1819-02-01,13.699,3.474,Algeria
1819-03-01,17.55,5.785,Algeria
1819-04-01,21.862,1.567,Algeria
1819-05-01,26.809,1.679,Algeria
1819-06-01,30.922,2.301,Algeria
1819-07-01,32.765,1.789,Algeria
1819-08-01,31.842,2.042,Algeria
1819-09-01,28.099,1.539,Algeria
1819-10-01,23.926,1.674,Algeria
1819-11-01,17.207,2.043,Algeria
1819-12-01,11.661,2.671,Algeria
1820-01-01,11.392,5.794,Algeria
1820-02-01,14.214,2.016,Algeria
1820-03-01,16.954,1.884,Algeria
1820-04-01,22.785,1.536,Algeria
1820-05-01,28.19,2.186,Algeria
1820-06-01,31.783,1.752,Algeria
1820-07-01,33.241,2.937,Algeria
1820-08-01,31.522,1.904,Algeria
1820-09-01,29.337,1.888,Algeria
1820-10-01,22.346,1.416,Algeria
1820-11-01,15.543,1.765,Algeria
1820-12-01,11.372,1.369,Algeria
1821-01-01,12.79,2.974,Algeria
1821-02-01,13.685,3.629,Algeria
1821-03-01,18.31,2.263,Algeria
1821-04-01,21.548,2.066,Algeria
1821-05-01,27.934,1.874,Algeria
1821-06-01,30.876,2.9,Algeria
1821-07-01,32.675,1.682,Algeria
1821-08-01,32.333,1.447,Algeria
1821-09-01,28.833,2.418,Algeria
1821-10-01,23.073,2,Algeria
1821-11-01,17.264,2.521,Algeria
1821-12-01,12.806,1.742,Algeria
1822-01-01,11.111,2.534,Algeria
1822-02-01,14.783,2.107,Algeria
1822-03-01,20.106,1.643,Algeria
1822-04-01,22.516,1.889,Algeria
1822-05-01,26.91,1.783,Algeria
1822-06-01,32.086,1.551,Algeria
1822-07-01,33.944,1.834,Algeria
1822-08-01,32.775,2.242,Algeria
1822-09-01,29.207,1.946,Algeria
1822-10-01,22.747,1.564,Algeria
1822-11-01,16.873,1.806,Algeria
1822-12-01,11.193,2.317,Algeria
1823-01-01,12.164,1.931,Algeria
1823-02-01,14.057,2.343,Algeria
1823-03-01,17.534,1.678,Algeria
1823-04-01,21.677,2.27,Algeria
1823-05-01,27.294,1.921,Algeria
1823-06-01,31.25,2.29,Algeria
1823-07-01,33.409,1.614,Algeria
1823-08-01,32.602,2.107,Algeria
1823-09-01,28.711,2.846,Algeria
1823-10-01,22.411,2.181,Algeria
1823-11-01,16.393,1.843,Algeria
1823-12-01,12.04,2.118,Algeria
1824-01-01,11.239,1.675,Algeria
1824-02-01,14.172,2.054,Algeria
1824-03-01,17.779,1.888,Algeria
1824-04-01,22.164,2.257,Algeria
1824-05-01,27.192,1.99,Algeria
1824-06-01,31.023,2.956,Algeria
1824-07-01,34.109,3.441,Algeria
1824-08-01,32.665,2.036,Algeria
1824-09-01,29.022,2.38,Algeria
1824-10-01,23.561,1.463,Algeria
1824-11-01,17.995,1.642,Algeria
1824-12-01,14.134,2.318,Algeria
1825-01-01,11.972,1.85,Algeria
1825-02-01,14.091,1.79,Algeria
1825-03-01,18.366,2.024,Algeria
1825-04-01,23.081,2.595,Algeria
1825-05-01,26.999,1.543,Algeria
1825-06-01,31.408,1.56,Algeria
1825-07-01,33.343,2.715,Algeria
1825-08-01,32.566,2.785,Algeria
1825-09-01,29.278,2.585,Algeria
1825-10-01,22.79,2.106,Algeria
1825-11-01,16.922,2.648,Algeria
1825-12-01,12.899,1.643,Algeria
1826-01-01,11.508,1.556,Algeria
1826-02-01,14.088,2.349,Algeria
1826-03-01,18.613,2.453,Algeria
1826-04-01,22.58,2.99,Algeria
1826-05-01,27.278,1.832,Algeria
1826-06-01,31.016,1.943,Algeria
1826-07-01,33.498,1.732,Algeria
1826-08-01,32.38,1.987,Algeria
1826-09-01,28.779,2.023,Algeria
1826-10-01,23.366,2.325,Algeria
1826-11-01,17.129,1.503,Algeria
1826-12-01,12.581,2.814,Algeria
1827-01-01,11.858,2.656,Algeria
1827-02-01,14.682,2.335,Algeria
1827-03-01,19.141,1.931,Algeria
1827-04-01,23.313,3.488,Algeria
1827-05-01,27.463,2.512,Algeria
1827-06-01,30.949,1.769,Algeria
1827-07-01,34.023,1.755,Algeria
1827-08-01,33.017,1.624,Algeria
1827-09-01,28.306,1.624,Algeria
1827-10-01,23.034,1.657,Algeria
1827-11-01,16.879,1.645,Algeria
1827-12-01,12.052,3.441,Algeria
1828-01-01,11.468,3.015,Algeria
1828-02-01,13.618,2.231,Algeria
1828-03-01,18.79,2.255,Algeria
1828-04-01,22.618,2.333,Algeria
1828-05-01,27.73,2.003,Algeria
1828-06-01,32.256,2.567,Algeria
1828-07-01,33.969,2.283,Algeria
1828-08-01,32.577,2.071,Algeria
1828-09-01,28.267,1.581,Algeria
1828-10-01,23.36,1.903,Algeria
1828-11-01,17.622,1.833,Algeria
1828-12-01,12.528,1.938,Algeria
1829-01-01,11.914,1.724,Algeria
1829-02-01,13.123,2.745,Algeria
1829-03-01,18.884,2.003,Algeria
1829-04-01,22.868,1.747,Algeria
1829-05-01,27.138,2.917,Algeria
1829-06-01,31.132,2.49,Algeria
1829-07-01,33.928,1.85,Algeria
1829-08-01,32.726,2.126,Algeria
1829-09-01,27.985,1.673,Algeria
1829-10-01,22.827,2.328,Algeria
1829-11-01,17.267,1.892,Algeria
1829-12-01,12.365,4.284,Algeria
1830-01-01,11.247,3.718,Algeria
1830-02-01,14.889,1.871,Algeria
1830-03-01,18.328,1.965,Algeria
1830-04-01,23.826,2.139,Algeria
1830-05-01,27.158,1.902,Algeria
